title,rating,price_inr
"1,000 Places to See Before You Die",5,2751.44
A Time of Torment (Charlie Parker #14),5,5100.92
A Flight of Arrows (The Pathfinders #2),5,5858.42
Mrs. Houdini,5,3191.38
The Passion of Dolssa,5,2987.76
Set Me Free,5,1842.03
Scarlett Epstein Hates It Here,5,4594.52
Library of Souls (Miss Peregrineâs Peculiar Children #3),5,5123.08
Frostbite (Vampire Academy #2),5,3163.94
The Darkest Lie,5,3729.42
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,6051.48
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",5,6050.42
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,5214.86
A Year in Provence (Provence #1),4,6000.84
Sharp Objects,4,5045.01
The Past Never Ends,4,5960.75
The Murder of Roger Ackroyd (Hercule Poirot #4),4,4652.55
Murder at the 42nd Street Library (Raymond Ambler #1),4,5734.98
The Marriage of Opposites,4,2962.44
A Paris Apartment,4,4115.55
World Without End (The Pillars of the Earth #2),4,3478.34
A Fierce and Subtle Poison,4,2967.71
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,4532.28
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4,4720.07
The Origin of Species,4,1056.06
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",4,1374.66
Seven Brief Lessons on Physics,4,3228.3
