title,price_inr
Boar Island (Anna Pigeon #19),6275.14
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,6051.48
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",6050.42
A Year in Provence (Provence #1),6000.84
The Past Never Ends,5960.75
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",5898.5
A Flight of Arrows (The Pathfinders #2),5858.42
Murder at the 42nd Street Library (Raymond Ambler #1),5734.98
The Last Mile (Amos Decker #2),5719.16
Tipping the Velvet,5669.57
