pd.read_sql,pd.read_sql,pd.read_sql,pd.read_sql,pd.merge,pd.merge,pd.merge,pd.merge
category_name,title,rating,price_inr,category_name,title,rating,price_inr
Historical Fiction,A Flight of Arrows (The Pathfinders #2),5,5858.42,Historical Fiction,A Flight of Arrows (The Pathfinders #2),5,5858.42
Historical Fiction,Mrs. Houdini,5,3191.38,Historical Fiction,Mrs. Houdini,5,3191.38
Historical Fiction,The Passion of Dolssa,5,2987.76,Historical Fiction,The Passion of Dolssa,5,2987.76
Historical Fiction,A Paris Apartment,4,4115.55,Historical Fiction,A Paris Apartment,4,4115.55
Historical Fiction,The Marriage of Opposites,4,2962.44,Historical Fiction,The Marriage of Opposites,4,2962.44
Historical Fiction,World Without End (The Pillars of the Earth #2),4,3478.34,Historical Fiction,World Without End (The Pillars of the Earth #2),4,3478.34
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,3132.3,Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,3132.3
Historical Fiction,Glory over Everything: Beyond The Kitchen House,3,4836.12,Historical Fiction,Glory over Everything: Beyond The Kitchen House,3,4836.12
Historical Fiction,The Constant Princess (The Tudor Court #1),3,1753.41,Historical Fiction,The Constant Princess (The Tudor Court #1),3,1753.41
Historical Fiction,Lilac Girls,2,1823.04,Historical Fiction,Lilac Girls,2,1823.04
Historical Fiction,"Love, Lies and Spies",2,2168.02,Historical Fiction,"Love, Lies and Spies",2,2168.02
Historical Fiction,Girl With a Pearl Earring,1,2824.24,Historical Fiction,Girl With a Pearl Earring,1,2824.24
Historical Fiction,The House by the Lake,1,3898.23,Historical Fiction,The House by the Lake,1,3898.23
Historical Fiction,The Invention of Wings,1,3939.37,Historical Fiction,The Invention of Wings,1,3939.37
Historical Fiction,Tipping the Velvet,1,5669.57,Historical Fiction,Tipping the Velvet,1,5669.57
Mystery,A Time of Torment (Charlie Parker #14),5,5100.92,Mystery,A Time of Torment (Charlie Parker #14),5,5100.92
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4,5734.98,Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4,5734.98
Mystery,Sharp Objects,4,5045.01,Mystery,Sharp Objects,4,5045.01
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4,4652.55,Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4,4652.55
Mystery,The Past Never Ends,4,5960.75,Mystery,The Past Never Ends,4,5960.75
